Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
diffusion_step_fp16.onnx,1714,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1718,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1720,MatMul,"inputs=[1, 46, 768], [768, 3072] -> outputs=[1, 46, 3072]",217055232
diffusion_step_fp16.onnx,1725,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,1727,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,1738,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1742,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1744,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1747,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1749,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1751,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1753,Einsum,"inputs=[1, 46, 16, 48], [1, 46, 16, 48] -> outputs=[1, 16, 46, 46]",3250176
diffusion_step_fp16.onnx,1758,Softmax,"inputs=[1, 16, 46, 46] -> outputs=[1, 16, 46, 46]",169280
diffusion_step_fp16.onnx,1760,Einsum,"inputs=[1, 16, 46, 46], [1, 46, 16, 48] -> outputs=[1, 46, 16, 48]",3250176
diffusion_step_fp16.onnx,1763,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1774,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1778,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1780,MatMul,"inputs=[1, 46, 768], [768, 3072] -> outputs=[1, 46, 3072]",217055232
diffusion_step_fp16.onnx,1785,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,1787,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,1798,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1802,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1804,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1807,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1809,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1811,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1813,Einsum,"inputs=[1, 46, 16, 48], [1, 46, 16, 48] -> outputs=[1, 16, 46, 46]",3250176
diffusion_step_fp16.onnx,1818,Softmax,"inputs=[1, 16, 46, 46] -> outputs=[1, 16, 46, 46]",169280
diffusion_step_fp16.onnx,1820,Einsum,"inputs=[1, 16, 46, 46], [1, 46, 16, 48] -> outputs=[1, 46, 16, 48]",3250176
diffusion_step_fp16.onnx,1823,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1834,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1838,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1840,MatMul,"inputs=[1, 46, 768], [768, 3072] -> outputs=[1, 46, 3072]",217055232
diffusion_step_fp16.onnx,1845,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,1847,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,1858,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1862,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1864,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1867,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1869,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1871,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1873,Einsum,"inputs=[1, 46, 16, 48], [1, 46, 16, 48] -> outputs=[1, 16, 46, 46]",3250176
diffusion_step_fp16.onnx,1878,Softmax,"inputs=[1, 16, 46, 46] -> outputs=[1, 16, 46, 46]",169280
diffusion_step_fp16.onnx,1880,Einsum,"inputs=[1, 16, 46, 46], [1, 46, 16, 48] -> outputs=[1, 46, 16, 48]",3250176
diffusion_step_fp16.onnx,1883,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1894,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1898,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,1900,MatMul,"inputs=[1, 46, 768], [768, 3072] -> outputs=[1, 46, 3072]",217055232
diffusion_step_fp16.onnx,1905,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,1907,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,1918,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
